"sq_candidato","Nome.Candidato","Cidade","UF","Cargo","Partido","Resultado_Eleitoral","Genero","Raca","Valor_Receita","Votos","ano"
230001054224,"Jussara De Figueiredo Rodrigues","Boa Vista","RR","Vereador","PL","Suplente","FEM.","BRANCA",13000,264,2020
230001054237,"Francilene De Souza Queirós","Boa Vista","RR","Vereador","PL","Suplente","FEM.","PARDA",13000,82,2020
230000837916,"Cassia Amorim De Lima","Boa Vista","RR","Vereador","DEM","Não Eleito","FEM.","PARDA",13125,7,2020
230000837922,"Edite De Souza Silva","Boa Vista","RR","Vereador","DEM","Não Eleito","FEM.","PARDA",13125,11,2020
230000837931,"SARA DA SILVA NASCIMENTO","Boa Vista","RR","Vereador","DEM","Não Eleito","FEM.","PARDA",13125,16,2020
230000779716,"KLEBER MEDEIROS DE SOUZA","Boa Vista","RR","Vereador","PDT","Não Eleito","MASC.","BRANCA",13237,64,2020
230001054015,"Marcelo Marinho Bernardino","Boa Vista","RR","Vereador","PT","Não Eleito","FEM.","AMARELA",13310.57,21,2020
230000837426,"GILDEAN DOS SANTOS SOUSA","Boa Vista","RR","Vereador","PP","Eleito","MASC.","PARDA",13333.33,1020,2020
230001054013,"Anderson Romulo Garcia Braz","Boa Vista","RR","Vereador","PT","Não Eleito","MASC.","INDÍGENA",13379.98,18,2020
230000838764,"ALAN SOUSA ANDRADE","Boa Vista","RR","Vereador","SOLIDARIEDADE","Suplente","MASC.","PARDA",13670.9,1267,2020
230000779718,"Jose De Ribamar Dutra Da Silva","Boa Vista","RR","Vereador","PDT","Não Eleito","MASC.","PARDA",13912,36,2020
230001054226,"Adelaiza Alves Correa","Boa Vista","RR","Vereador","PL","Suplente","FEM.","BRANCA",14000,33,2020
230001054009,"Osmar Morais Santos","Boa Vista","RR","Vereador","PT","Não Eleito","MASC.","PARDA",14114.44,111,2020
230000837425,"Cleodimar De Souza Fontoura","Boa Vista","RR","Vereador","PP","Suplente","MASC.","PARDA",14133.33,268,2020
